Timestamp,Temperature(°C),Humidity(%),SoundLevel(dB),MachineHealth
2024-10-01 00:00:00,27.21,54.94,20.0,Critical
2024-10-01 00:01:00,22.57,57.04,11.44,Good
2024-10-01 00:02:00,24.89,57.5,18.46,Warning
2024-10-01 00:03:00,25.4,32.28,16.6,Warning
2024-10-01 00:04:00,24.69,56.39,10.69,Good
2024-10-01 00:05:00,25.35,45.15,13.95,Good
2024-10-01 00:06:00,27.26,34.45,19.52,Warning
2024-10-01 00:07:00,25.24,48.74,14.15,Good
2024-10-01 00:08:00,26.62,53.16,16.96,Warning
2024-10-01 00:09:00,20.92,51.8,14.1,Good
2024-10-01 00:10:00,25.83,49.46,17.72,Warning
2024-10-01 00:11:00,21.28,58.25,8.5,Good
2024-10-01 00:12:00,21.8,53.31,13.34,Good
2024-10-01 00:13:00,26.19,60.0,17.38,Critical
2024-10-01 00:14:00,23.56,35.35,19.38,Warning
2024-10-01 00:15:00,23.75,45.21,15.1,Warning
2024-10-01 00:16:00,24.79,53.37,16.46,Warning
2024-10-01 00:17:00,27.34,46.74,15.6,Warning
2024-10-01 00:18:00,27.11,39.85,19.16,Warning
2024-10-01 00:19:00,29.98,29.63,18.29,Warning
2024-10-01 00:20:00,28.22,59.66,17.01,Warning
2024-10-01 00:21:00,25.95,60.0,14.9,Good
2024-10-01 00:22:00,26.59,60.0,15.88,Critical
2024-10-01 00:23:00,22.53,43.37,15.48,Warning
2024-10-01 00:24:00,27.06,39.84,16.51,Critical
2024-10-01 00:25:00,24.97,41.54,17.85,Critical
2024-10-01 00:26:00,28.83,51.28,12.55,Good
2024-10-01 00:27:00,20.13,49.26,20.0,Warning
2024-10-01 00:28:00,20.95,56.84,20.0,Critical
2024-10-01 00:29:00,20.72,60.0,17.18,Critical
2024-10-01 00:30:00,29.53,55.75,14.54,Good
2024-10-01 00:31:00,25.57,52.43,17.79,Warning
2024-10-01 00:32:00,27.72,40.89,13.69,Good
2024-10-01 00:33:00,24.9,38.74,9.62,Good
2024-10-01 00:34:00,23.45,43.55,18.76,Warning
2024-10-01 00:35:00,25.08,34.12,6.01,Good
2024-10-01 00:36:00,22.53,42.32,17.84,Critical
2024-10-01 00:37:00,28.13,51.13,10.22,Good
2024-10-01 00:38:00,25.92,46.17,15.49,Warning
2024-10-01 00:39:00,23.52,60.0,16.82,Warning
2024-10-01 00:40:00,25.15,43.47,19.75,Warning
2024-10-01 00:41:00,24.77,49.46,17.78,Critical
2024-10-01 00:42:00,27.98,53.17,13.1,Good
2024-10-01 00:43:00,25.34,60.0,12.29,Good
2024-10-01 00:44:00,29.46,29.09,11.96,Good
2024-10-01 00:45:00,17.86,33.13,12.67,Good
2024-10-01 00:46:00,26.34,36.81,19.39,Critical
2024-10-01 00:47:00,26.81,47.89,18.74,Warning
2024-10-01 00:48:00,23.89,38.45,15.46,Warning
2024-10-01 00:49:00,26.99,58.13,19.25,Warning
2024-10-01 00:50:00,22.15,60.0,13.42,Good
2024-10-01 00:51:00,25.25,53.69,18.4,Warning
2024-10-01 00:52:00,24.73,55.81,18.78,Warning
2024-10-01 00:53:00,23.5,56.0,15.08,Warning
2024-10-01 00:54:00,21.45,44.29,17.49,Warning
2024-10-01 00:55:00,27.42,60.0,16.51,Warning
2024-10-01 00:56:00,25.78,40.13,15.95,Critical
2024-10-01 00:57:00,26.61,35.18,15.73,Warning
2024-10-01 00:58:00,21.42,46.51,12.78,Good
2024-10-01 00:59:00,22.65,60.0,15.51,Warning
2024-10-01 01:00:00,21.91,51.23,15.94,Warning
2024-10-01 01:01:00,22.21,44.11,17.4,Warning
2024-10-01 01:02:00,24.52,36.5,12.84,Good
2024-10-01 01:03:00,29.25,48.19,12.37,Good
2024-10-01 01:04:00,28.55,52.79,12.98,Good
2024-10-01 01:05:00,24.54,52.68,16.49,Warning
2024-10-01 01:06:00,24.94,50.75,16.6,Warning
2024-10-01 01:07:00,23.24,47.58,19.88,Warning
2024-10-01 01:08:00,24.34,42.01,15.5,Critical
2024-10-01 01:09:00,26.94,43.89,14.79,Good
2024-10-01 01:10:00,21.65,60.0,17.1,Warning
2024-10-01 01:11:00,27.41,52.4,9.71,Good
2024-10-01 01:12:00,25.13,57.24,15.83,Critical
2024-10-01 01:13:00,20.7,60.0,16.41,Warning
2024-10-01 01:14:00,28.86,42.71,15.41,Critical
2024-10-01 01:15:00,23.7,55.67,13.93,Good
2024-10-01 01:16:00,24.1,48.38,17.87,Warning
2024-10-01 01:17:00,21.6,30.74,20.0,Warning
2024-10-01 01:18:00,30.68,35.51,15.75,Warning
2024-10-01 01:19:00,27.22,56.08,15.1,Critical
2024-10-01 01:20:00,26.79,56.07,13.02,Good
2024-10-01 01:21:00,26.68,60.0,17.78,Warning
2024-10-01 01:22:00,22.67,29.68,10.18,Good
2024-10-01 01:23:00,29.91,57.61,13.74,Good
2024-10-01 01:24:00,24.59,57.36,16.71,Warning
2024-10-01 01:25:00,27.05,59.44,13.81,Good
2024-10-01 01:26:00,26.18,58.94,14.64,Good
2024-10-01 01:27:00,24.87,49.08,14.73,Good
2024-10-01 01:28:00,26.33,49.29,13.19,Good
2024-10-01 01:29:00,28.41,43.01,12.18,Good
2024-10-01 01:30:00,20.05,45.68,9.34,Good
2024-10-01 01:31:00,24.48,46.61,11.42,Good
2024-10-01 01:32:00,27.43,55.17,17.48,Critical
2024-10-01 01:33:00,27.29,34.11,10.91,Good
2024-10-01 01:34:00,24.23,46.91,19.1,Critical
2024-10-01 01:35:00,23.14,37.68,15.75,Critical
2024-10-01 01:36:00,26.84,40.57,14.73,Good
2024-10-01 01:37:00,25.2,31.26,12.78,Good
2024-10-01 01:38:00,19.74,41.18,17.88,Critical
2024-10-01 01:39:00,24.98,56.05,12.78,Good
2024-10-01 01:40:00,23.19,60.0,10.61,Good
2024-10-01 01:41:00,23.54,54.3,17.81,Warning
2024-10-01 01:42:00,22.2,48.01,10.23,Good
2024-10-01 01:43:00,29.52,54.83,15.57,Warning
2024-10-01 01:44:00,24.62,47.16,13.72,Good
2024-10-01 01:45:00,25.59,48.65,13.06,Good
2024-10-01 01:46:00,20.45,53.61,12.99,Good
2024-10-01 01:47:00,26.87,48.72,13.12,Good
2024-10-01 01:48:00,31.63,58.07,14.14,Critical
2024-10-01 01:49:00,21.97,60.0,10.94,Good
2024-10-01 01:50:00,22.23,58.33,13.52,Good
2024-10-01 01:51:00,28.77,54.59,15.76,Warning
2024-10-01 01:52:00,16.09,43.07,14.47,Good
2024-10-01 01:53:00,25.06,58.34,15.06,Warning
2024-10-01 01:54:00,25.91,53.39,18.31,Warning
2024-10-01 01:55:00,28.71,33.46,16.0,Warning
2024-10-01 01:56:00,27.75,32.28,16.27,Warning
2024-10-01 01:57:00,24.17,55.74,15.03,Warning
2024-10-01 01:58:00,28.05,41.66,17.79,Critical
2024-10-01 01:59:00,22.73,23.16,11.18,Good
2024-10-01 02:00:00,25.4,44.07,12.36,Good
2024-10-01 02:01:00,26.11,60.0,14.03,Good
2024-10-01 02:02:00,28.78,48.59,17.74,Warning
2024-10-01 02:03:00,25.84,49.67,16.85,Warning
2024-10-01 02:04:00,24.82,43.51,13.95,Good
2024-10-01 02:05:00,24.89,47.53,12.67,Good
2024-10-01 02:06:00,22.91,60.0,7.87,Good
2024-10-01 02:07:00,28.96,55.44,10.06,Good
2024-10-01 02:08:00,22.23,39.1,16.74,Warning
2024-10-01 02:09:00,24.89,54.52,15.79,Warning
2024-10-01 02:10:00,25.11,44.63,10.39,Good
2024-10-01 02:11:00,26.86,56.69,14.39,Good
2024-10-01 02:12:00,26.87,48.88,19.73,Warning
2024-10-01 02:13:00,22.26,60.0,13.9,Good
2024-10-01 02:14:00,24.35,51.57,14.79,Good
2024-10-01 02:15:00,24.09,36.71,16.66,Critical
2024-10-01 02:16:00,28.29,41.42,13.97,Good
2024-10-01 02:17:00,19.72,58.99,18.37,Critical
2024-10-01 02:18:00,24.04,55.92,11.62,Good
2024-10-01 02:19:00,25.63,60.0,16.34,Critical
2024-10-01 02:20:00,28.28,52.25,18.35,Critical
2024-10-01 02:21:00,18.62,58.12,10.84,Good
2024-10-01 02:22:00,25.45,47.28,11.45,Good
2024-10-01 02:23:00,24.19,33.39,14.88,Good
2024-10-01 02:24:00,24.4,56.8,15.17,Warning
2024-10-01 02:25:00,22.91,36.64,13.37,Good
2024-10-01 02:26:00,24.56,42.66,12.14,Good
2024-10-01 02:27:00,28.36,45.85,17.03,Critical
2024-10-01 02:28:00,24.72,55.68,18.17,Critical
2024-10-01 02:29:00,23.79,36.47,14.92,Good
2024-10-01 02:30:00,28.64,50.98,15.58,Critical
2024-10-01 02:31:00,23.57,43.29,16.55,Warning
2024-10-01 02:32:00,27.36,44.55,17.53,Warning
2024-10-01 02:33:00,28.36,51.6,16.36,Warning
2024-10-01 02:34:00,25.81,41.49,14.95,Good
2024-10-01 02:35:00,31.27,46.55,12.84,Critical
2024-10-01 02:36:00,21.44,47.85,16.16,Warning
2024-10-01 02:37:00,27.31,38.08,19.27,Critical
2024-10-01 02:38:00,27.4,60.0,11.57,Good
2024-10-01 02:39:00,21.97,40.12,13.12,Good
2024-10-01 02:40:00,24.31,37.26,20.0,Critical
2024-10-01 02:41:00,24.98,47.9,9.7,Good
2024-10-01 02:42:00,21.72,54.62,15.43,Warning
2024-10-01 02:43:00,23.46,36.13,15.61,Warning
2024-10-01 02:44:00,24.27,55.92,13.73,Good
2024-10-01 02:45:00,26.4,60.0,13.36,Good
2024-10-01 02:46:00,27.38,56.63,15.21,Warning
2024-10-01 02:47:00,27.66,40.68,15.46,Warning
2024-10-01 02:48:00,22.55,54.35,11.43,Good
2024-10-01 02:49:00,29.47,29.5,14.39,Good
2024-10-01 02:50:00,26.42,58.58,11.03,Good
2024-10-01 02:51:00,31.37,60.0,16.54,Critical
2024-10-01 02:52:00,26.86,58.7,19.4,Warning
2024-10-01 02:53:00,26.4,49.83,12.22,Good
2024-10-01 02:54:00,23.62,47.16,13.49,Good
2024-10-01 02:55:00,23.16,41.61,15.1,Critical
2024-10-01 02:56:00,23.6,47.15,12.77,Good
2024-10-01 02:57:00,21.89,47.67,17.29,Critical
2024-10-01 02:58:00,25.11,48.23,14.08,Good
2024-10-01 02:59:00,24.62,43.45,12.6,Good
2024-10-01 03:00:00,25.91,60.0,14.84,Good
2024-10-01 03:01:00,29.67,36.42,14.73,Good
2024-10-01 03:02:00,21.43,32.41,16.5,Warning
2024-10-01 03:03:00,22.53,49.85,11.31,Good
2024-10-01 03:04:00,24.16,46.09,16.19,Warning
2024-10-01 03:05:00,24.41,45.56,18.24,Warning
2024-10-01 03:06:00,23.53,47.54,8.52,Good
2024-10-01 03:07:00,30.9,41.94,16.33,Warning
2024-10-01 03:08:00,28.79,40.14,7.84,Good
2024-10-01 03:09:00,24.88,60.0,20.0,Critical
2024-10-01 03:10:00,20.9,49.06,15.29,Warning
2024-10-01 03:11:00,31.57,37.83,16.81,Critical
2024-10-01 03:12:00,20.24,57.75,16.25,Critical
2024-10-01 03:13:00,26.73,60.0,12.08,Good
2024-10-01 03:14:00,28.17,48.06,18.18,Warning
2024-10-01 03:15:00,22.91,60.0,16.81,Warning
2024-10-01 03:16:00,25.8,37.74,15.71,Critical
2024-10-01 03:17:00,21.96,50.87,15.3,Warning
2024-10-01 03:18:00,24.61,42.27,14.83,Good
2024-10-01 03:19:00,29.84,60.0,12.49,Good
2024-10-01 03:20:00,27.56,34.02,18.89,Warning
2024-10-01 03:21:00,22.64,37.36,9.8,Good
2024-10-01 03:22:00,22.3,42.81,14.27,Good
2024-10-01 03:23:00,21.71,54.36,17.28,Warning
2024-10-01 03:24:00,23.32,37.4,11.78,Good
2024-10-01 03:25:00,25.85,53.09,11.15,Good
2024-10-01 03:26:00,23.19,38.8,17.27,Critical
2024-10-01 03:27:00,26.09,54.69,15.6,Warning
2024-10-01 03:28:00,21.1,39.22,20.0,Warning
2024-10-01 03:29:00,25.99,50.67,12.61,Good
2024-10-01 03:30:00,24.5,44.47,19.37,Warning
2024-10-01 03:31:00,26.61,51.45,14.49,Good
2024-10-01 03:32:00,26.54,47.59,17.9,Warning
2024-10-01 03:33:00,23.8,53.2,14.04,Good
2024-10-01 03:34:00,26.53,49.33,18.01,Critical
2024-10-01 03:35:00,26.21,44.54,17.86,Warning
2024-10-01 03:36:00,27.71,38.76,14.53,Good
2024-10-01 03:37:00,27.31,42.9,18.86,Warning
2024-10-01 03:38:00,30.22,60.0,19.88,Critical
2024-10-01 03:39:00,26.71,42.42,9.42,Good
2024-10-01 03:40:00,30.13,60.0,17.1,Warning
2024-10-01 03:41:00,29.26,53.28,20.0,Warning
2024-10-01 03:42:00,22.38,46.24,17.91,Warning
2024-10-01 03:43:00,26.07,37.3,14.7,Good
2024-10-01 03:44:00,21.86,52.58,17.45,Warning
2024-10-01 03:45:00,28.39,37.27,14.42,Good
2024-10-01 03:46:00,25.41,60.0,19.7,Critical
2024-10-01 03:47:00,17.37,45.99,16.24,Warning
2024-10-01 03:48:00,16.87,45.27,15.86,Warning
2024-10-01 03:49:00,29.42,47.06,17.02,Warning
2024-10-01 03:50:00,29.05,41.88,20.0,Warning
2024-10-01 03:51:00,25.05,48.74,12.04,Good
2024-10-01 03:52:00,23.98,60.0,12.15,Good
2024-10-01 03:53:00,25.55,47.83,13.34,Good
2024-10-01 03:54:00,23.16,60.0,12.66,Good
2024-10-01 03:55:00,20.26,58.58,16.39,Warning
2024-10-01 03:56:00,21.25,60.0,13.46,Good
2024-10-01 03:57:00,29.31,43.33,9.94,Good
2024-10-01 03:58:00,27.9,60.0,17.19,Warning
2024-10-01 03:59:00,26.18,37.39,15.73,Warning
2024-10-01 04:00:00,23.58,50.24,20.0,Critical
2024-10-01 04:01:00,24.63,56.7,13.74,Good
2024-10-01 04:02:00,28.85,36.09,10.45,Good
2024-10-01 04:03:00,25.33,51.03,14.66,Good
2024-10-01 04:04:00,25.44,60.0,17.18,Warning
2024-10-01 04:05:00,22.75,43.82,12.31,Good
2024-10-01 04:06:00,21.58,54.94,13.79,Good
2024-10-01 04:07:00,26.89,47.5,16.3,Warning
2024-10-01 04:08:00,21.56,47.04,15.03,Warning
2024-10-01 04:09:00,25.28,41.41,14.77,Good
2024-10-01 04:10:00,25.48,60.0,20.0,Warning
2024-10-01 04:11:00,22.11,42.24,18.41,Critical
2024-10-01 04:12:00,25.27,29.58,15.28,Warning
2024-10-01 04:13:00,23.19,58.84,16.58,Warning
2024-10-01 04:14:00,21.47,58.85,14.17,Good
2024-10-01 04:15:00,20.39,60.0,10.84,Good
2024-10-01 04:16:00,23.25,60.0,15.97,Critical
2024-10-01 04:17:00,26.96,49.78,9.8,Good
