Timestamp,Temperature(°C),Humidity(%),SoundLevel(dB),MachineHealth
2024-04-01 00:00:00,23.79,47.06,20.0,Critical
2024-04-01 00:01:00,25.08,43.02,14.05,Good
2024-04-01 00:02:00,23.63,46.8,14.53,Good
2024-04-01 00:03:00,31.38,41.82,18.54,Warning
2024-04-01 00:04:00,20.33,51.53,16.22,Warning
2024-04-01 00:05:00,16.79,41.01,17.08,Critical
2024-04-01 00:06:00,23.42,48.25,15.05,Warning
2024-04-01 00:07:00,22.7,37.18,14.82,Good
2024-04-01 00:08:00,21.83,44.27,18.69,Warning
2024-04-01 00:09:00,29.75,59.59,9.09,Good
2024-04-01 00:10:00,31.61,26.9,13.09,Critical
2024-04-01 00:11:00,23.92,44.95,13.71,Good
2024-04-01 00:12:00,26.15,51.87,11.77,Good
2024-04-01 00:13:00,24.44,60.0,14.28,Good
2024-04-01 00:14:00,23.54,60.0,15.14,Warning
2024-04-01 00:15:00,24.38,60.0,17.07,Critical
2024-04-01 00:16:00,25.75,60.0,10.24,Good
2024-04-01 00:17:00,25.06,54.24,15.88,Warning
2024-04-01 00:18:00,22.59,46.7,15.73,Warning
2024-04-01 00:19:00,23.97,32.42,15.07,Warning
2024-04-01 00:20:00,22.23,49.24,19.65,Warning
2024-04-01 00:21:00,31.12,47.67,14.98,Critical
2024-04-01 00:22:00,27.35,48.92,20.0,Warning
2024-04-01 00:23:00,27.5,52.05,16.56,Critical
2024-04-01 00:24:00,24.78,51.35,14.06,Good
2024-04-01 00:25:00,25.06,60.0,10.1,Good
2024-04-01 00:26:00,23.1,60.0,14.16,Good
2024-04-01 00:27:00,24.62,53.74,19.28,Warning
2024-04-01 00:28:00,22.8,58.52,16.01,Critical
2024-04-01 00:29:00,25.69,44.72,16.69,Warning
2024-04-01 00:30:00,23.15,59.85,8.44,Good
2024-04-01 00:31:00,27.42,52.92,13.55,Good
2024-04-01 00:32:00,29.74,50.12,19.53,Warning
2024-04-01 00:33:00,23.45,38.07,12.0,Good
2024-04-01 00:34:00,25.27,60.0,12.21,Good
2024-04-01 00:35:00,24.88,46.34,16.4,Warning
2024-04-01 00:36:00,25.24,53.33,14.51,Good
2024-04-01 00:37:00,22.7,49.37,14.8,Good
2024-04-01 00:38:00,22.83,44.18,14.37,Good
2024-04-01 00:39:00,21.2,60.0,12.47,Good
2024-04-01 00:40:00,21.16,54.88,11.13,Good
2024-04-01 00:41:00,28.29,58.96,12.23,Good
2024-04-01 00:42:00,23.98,28.25,13.72,Good
2024-04-01 00:43:00,28.42,51.46,13.01,Good
2024-04-01 00:44:00,16.54,60.0,15.24,Warning
2024-04-01 00:45:00,28.29,52.35,19.62,Warning
2024-04-01 00:46:00,25.75,36.35,12.24,Good
2024-04-01 00:47:00,24.17,59.35,14.97,Good
2024-04-01 00:48:00,23.76,46.96,12.57,Good
2024-04-01 00:49:00,26.94,48.82,12.43,Good
2024-04-01 00:50:00,20.05,53.43,20.0,Warning
2024-04-01 00:51:00,24.2,60.0,11.61,Good
2024-04-01 00:52:00,26.67,44.72,14.2,Good
2024-04-01 00:53:00,28.36,53.31,14.61,Good
2024-04-01 00:54:00,25.95,60.0,11.81,Good
2024-04-01 00:55:00,27.92,44.26,17.6,Warning
2024-04-01 00:56:00,26.67,37.86,12.8,Good
2024-04-01 00:57:00,28.01,58.0,20.0,Warning
2024-04-01 00:58:00,25.98,48.23,17.37,Warning
2024-04-01 00:59:00,28.41,43.93,18.29,Warning
2024-04-01 01:00:00,30.43,60.0,19.33,Warning
2024-04-01 01:01:00,28.47,53.35,11.31,Good
2024-04-01 01:02:00,28.32,53.86,10.0,Good
2024-04-01 01:03:00,24.32,53.19,15.04,Warning
2024-04-01 01:04:00,27.71,34.29,15.78,Warning
2024-04-01 01:05:00,17.64,57.54,19.95,Critical
2024-04-01 01:06:00,23.39,39.35,15.1,Warning
2024-04-01 01:07:00,20.79,51.77,12.99,Good
2024-04-01 01:08:00,25.47,60.0,18.56,Critical
2024-04-01 01:09:00,22.35,43.82,11.35,Good
2024-04-01 01:10:00,28.68,49.01,14.72,Good
2024-04-01 01:11:00,23.53,60.0,14.14,Good
2024-04-01 01:12:00,22.33,47.36,13.09,Good
2024-04-01 01:13:00,27.91,60.0,15.01,Warning
2024-04-01 01:14:00,29.89,27.29,19.24,Warning
2024-04-01 01:15:00,23.92,53.06,14.77,Good
2024-04-01 01:16:00,25.51,60.0,17.54,Warning
2024-04-01 01:17:00,26.23,60.0,15.42,Warning
2024-04-01 01:18:00,21.82,53.16,16.09,Warning
2024-04-01 01:19:00,28.91,47.53,11.67,Good
2024-04-01 01:20:00,26.25,57.81,18.11,Warning
2024-04-01 01:21:00,22.53,43.93,17.35,Warning
2024-04-01 01:22:00,25.82,45.59,19.16,Critical
2024-04-01 01:23:00,23.56,60.0,10.41,Good
2024-04-01 01:24:00,25.12,54.21,14.08,Good
2024-04-01 01:25:00,29.28,60.0,17.51,Warning
2024-04-01 01:26:00,28.7,53.78,13.57,Good
2024-04-01 01:27:00,23.65,60.0,10.18,Good
2024-04-01 01:28:00,26.99,57.11,15.56,Warning
2024-04-01 01:29:00,26.83,45.1,13.18,Good
2024-04-01 01:30:00,19.26,57.1,13.61,Good
2024-04-01 01:31:00,32.21,60.0,5.8,Warning
2024-04-01 01:32:00,25.89,60.0,20.0,Warning
2024-04-01 01:33:00,26.44,48.46,20.0,Warning
2024-04-01 01:34:00,23.32,40.87,15.66,Critical
2024-04-01 01:35:00,18.01,33.83,14.85,Good
2024-04-01 01:36:00,27.52,52.13,14.39,Good
2024-04-01 01:37:00,21.9,43.32,15.08,Warning
2024-04-01 01:38:00,29.75,56.44,9.83,Good
2024-04-01 01:39:00,21.61,54.29,12.86,Good
2024-04-01 01:40:00,27.5,42.65,13.65,Good
2024-04-01 01:41:00,22.99,34.76,9.32,Good
2024-04-01 01:42:00,24.42,60.0,18.83,Warning
2024-04-01 01:43:00,22.83,50.61,20.0,Warning
2024-04-01 01:44:00,23.6,36.55,18.0,Warning
2024-04-01 01:45:00,26.34,60.0,11.48,Good
2024-04-01 01:46:00,21.21,60.0,20.0,Warning
2024-04-01 01:47:00,26.28,60.0,9.3,Good
2024-04-01 01:48:00,28.84,53.28,12.86,Good
2024-04-01 01:49:00,27.08,42.78,16.81,Critical
2024-04-01 01:50:00,25.54,50.99,13.79,Good
2024-04-01 01:51:00,23.2,54.77,14.03,Good
2024-04-01 01:52:00,29.59,55.28,16.29,Warning
2024-04-01 01:53:00,25.41,33.81,14.07,Good
2024-04-01 01:54:00,22.81,55.38,13.73,Good
2024-04-01 01:55:00,23.34,32.24,18.27,Warning
2024-04-01 01:56:00,24.59,50.13,17.46,Warning
2024-04-01 01:57:00,29.19,44.84,10.63,Good
2024-04-01 01:58:00,22.02,51.69,13.31,Good
2024-04-01 01:59:00,24.86,60.0,11.43,Good
2024-04-01 02:00:00,28.37,60.0,14.51,Good
2024-04-01 02:01:00,23.09,43.89,20.0,Warning
2024-04-01 02:02:00,29.51,59.23,14.25,Good
2024-04-01 02:03:00,24.18,38.11,15.78,Warning
2024-04-01 02:04:00,23.58,39.6,13.4,Good
2024-04-01 02:05:00,20.33,59.85,18.12,Warning
2024-04-01 02:06:00,27.18,55.27,18.97,Warning
2024-04-01 02:07:00,29.82,60.0,15.29,Warning
2024-04-01 02:08:00,27.23,21.52,12.26,Good
2024-04-01 02:09:00,22.83,51.29,13.77,Good
2024-04-01 02:10:00,24.44,42.35,17.46,Warning
2024-04-01 02:11:00,23.24,37.97,10.26,Good
2024-04-01 02:12:00,25.89,30.91,8.98,Good
2024-04-01 02:13:00,30.11,38.49,13.21,Warning
2024-04-01 02:14:00,21.9,47.95,18.73,Warning
2024-04-01 02:15:00,25.46,48.65,15.99,Warning
2024-04-01 02:16:00,22.35,51.53,14.3,Good
2024-04-01 02:17:00,23.46,27.57,17.03,Warning
2024-04-01 02:18:00,24.68,46.73,13.02,Good
2024-04-01 02:19:00,28.4,26.2,15.69,Warning
2024-04-01 02:20:00,24.82,41.66,10.46,Good
2024-04-01 02:21:00,27.07,39.67,20.0,Critical
2024-04-01 02:22:00,25.06,48.66,16.33,Warning
2024-04-01 02:23:00,24.86,60.0,18.57,Warning
2024-04-01 02:24:00,27.85,60.0,12.43,Good
2024-04-01 02:25:00,23.15,31.13,12.05,Good
2024-04-01 02:26:00,22.96,45.69,14.87,Good
2024-04-01 02:27:00,24.98,41.69,17.44,Critical
2024-04-01 02:28:00,29.88,60.0,18.46,Warning
2024-04-01 02:29:00,21.85,46.45,17.78,Warning
2024-04-01 02:30:00,25.9,41.15,14.3,Good
2024-04-01 02:31:00,27.59,57.35,17.62,Warning
2024-04-01 02:32:00,25.95,33.91,13.42,Good
2024-04-01 02:33:00,27.12,60.0,19.85,Critical
2024-04-01 02:34:00,25.23,44.99,12.54,Good
2024-04-01 02:35:00,27.3,42.61,11.0,Good
2024-04-01 02:36:00,30.77,57.46,19.37,Warning
2024-04-01 02:37:00,20.34,35.37,12.3,Good
2024-04-01 02:38:00,26.44,54.3,19.09,Critical
2024-04-01 02:39:00,27.87,60.0,16.15,Critical
2024-04-01 02:40:00,25.36,52.11,11.32,Good
2024-04-01 02:41:00,22.25,60.0,16.49,Warning
2024-04-01 02:42:00,26.6,48.12,12.05,Good
2024-04-01 02:43:00,27.53,47.16,13.74,Good
2024-04-01 02:44:00,22.7,52.55,18.21,Warning
2024-04-01 02:45:00,23.35,44.9,11.19,Good
2024-04-01 02:46:00,24.24,60.0,12.61,Good
2024-04-01 02:47:00,25.7,53.51,14.82,Good
2024-04-01 02:48:00,29.22,40.0,19.06,Warning
2024-04-01 02:49:00,26.46,46.43,13.45,Good
2024-04-01 02:50:00,18.46,60.0,16.08,Warning
2024-04-01 02:51:00,25.75,53.94,15.88,Warning
2024-04-01 02:52:00,26.76,53.44,14.59,Good
2024-04-01 02:53:00,26.01,57.29,17.71,Warning
2024-04-01 02:54:00,28.13,39.19,14.15,Good
2024-04-01 02:55:00,19.38,60.0,12.9,Good
2024-04-01 02:56:00,24.98,57.25,16.4,Warning
2024-04-01 02:57:00,29.21,51.26,12.5,Good
2024-04-01 02:58:00,23.4,58.66,13.97,Good
2024-04-01 02:59:00,31.18,42.49,15.5,Critical
2024-04-01 03:00:00,23.97,55.66,16.7,Warning
2024-04-01 03:01:00,25.54,60.0,15.65,Warning
2024-04-01 03:02:00,27.82,60.0,16.53,Warning
2024-04-01 03:03:00,21.65,46.36,12.2,Good
2024-04-01 03:04:00,30.66,52.14,14.47,Warning
2024-04-01 03:05:00,23.12,38.01,14.9,Good
2024-04-01 03:06:00,25.81,60.0,14.1,Good
2024-04-01 03:07:00,27.08,44.1,13.35,Good
2024-04-01 03:08:00,26.57,56.36,16.92,Warning
2024-04-01 03:09:00,19.73,56.96,10.58,Good
2024-04-01 03:10:00,24.54,39.81,15.44,Warning
2024-04-01 03:11:00,26.84,60.0,18.71,Warning
2024-04-01 03:12:00,21.7,56.66,13.13,Good
2024-04-01 03:13:00,23.57,60.0,14.34,Good
2024-04-01 03:14:00,26.94,50.91,13.84,Good
2024-04-01 03:15:00,23.25,52.92,19.08,Warning
2024-04-01 03:16:00,26.51,53.51,14.89,Good
2024-04-01 03:17:00,26.7,52.53,17.0,Critical
2024-04-01 03:18:00,26.73,59.31,16.13,Warning
2024-04-01 03:19:00,29.19,60.0,13.08,Good
2024-04-01 03:20:00,24.4,45.36,16.69,Critical
2024-04-01 03:21:00,21.68,29.68,15.65,Warning
2024-04-01 03:22:00,26.0,60.0,16.53,Warning
2024-04-01 03:23:00,25.78,42.25,18.53,Warning
2024-04-01 03:24:00,20.47,56.21,13.75,Good
2024-04-01 03:25:00,24.42,60.0,18.35,Warning
2024-04-01 03:26:00,25.04,35.82,20.0,Warning
2024-04-01 03:27:00,26.82,47.43,14.7,Good
2024-04-01 03:28:00,26.83,49.74,17.53,Critical
2024-04-01 03:29:00,22.44,55.08,15.28,Warning
2024-04-01 03:30:00,26.87,43.54,14.23,Good
2024-04-01 03:31:00,25.84,48.06,20.0,Critical
2024-04-01 03:32:00,27.65,44.19,13.74,Good
2024-04-01 03:33:00,30.24,60.0,9.72,Warning
2024-04-01 03:34:00,24.98,49.89,16.12,Critical
2024-04-01 03:35:00,26.56,51.53,12.92,Good
2024-04-01 03:36:00,22.58,52.17,16.59,Warning
2024-04-01 03:37:00,27.84,55.18,15.93,Warning
2024-04-01 03:38:00,24.71,56.72,15.95,Critical
2024-04-01 03:39:00,27.38,44.02,11.83,Good
2024-04-01 03:40:00,21.49,52.6,13.76,Good
2024-04-01 03:41:00,22.04,55.32,14.52,Good
2024-04-01 03:42:00,27.47,49.62,15.7,Warning
2024-04-01 03:43:00,23.48,49.21,14.55,Good
2024-04-01 03:44:00,17.68,27.75,17.3,Critical
2024-04-01 03:45:00,28.22,43.33,15.8,Critical
2024-04-01 03:46:00,24.64,42.26,15.28,Warning
2024-04-01 03:47:00,26.93,48.98,13.45,Good
2024-04-01 03:48:00,24.92,56.8,18.27,Critical
2024-04-01 03:49:00,27.67,54.25,13.47,Good
2024-04-01 03:50:00,24.25,44.34,15.69,Warning
2024-04-01 03:51:00,27.46,47.91,12.82,Good
2024-04-01 03:52:00,25.21,47.74,10.95,Good
2024-04-01 03:53:00,26.61,57.78,14.98,Good
2024-04-01 03:54:00,20.71,52.65,18.83,Critical
2024-04-01 03:55:00,27.77,46.84,14.23,Good
2024-04-01 03:56:00,22.59,60.0,13.77,Good
2024-04-01 03:57:00,20.14,56.77,13.25,Good
2024-04-01 03:58:00,28.7,56.58,20.0,Warning
2024-04-01 03:59:00,28.47,54.51,13.47,Good
2024-04-01 04:00:00,25.3,56.18,12.81,Good
2024-04-01 04:01:00,25.59,48.41,15.02,Warning
2024-04-01 04:02:00,26.36,43.89,10.39,Good
2024-04-01 04:03:00,26.35,60.0,11.93,Good
2024-04-01 04:04:00,26.32,34.37,16.02,Warning
2024-04-01 04:05:00,24.55,60.0,6.73,Good
2024-04-01 04:06:00,27.35,59.33,12.4,Good
2024-04-01 04:07:00,23.08,53.08,19.15,Warning
2024-04-01 04:08:00,29.04,57.47,15.29,Critical
2024-04-01 04:09:00,25.77,49.33,8.65,Good
2024-04-01 04:10:00,24.41,32.24,13.93,Good
2024-04-01 04:11:00,26.21,58.35,17.08,Warning
2024-04-01 04:12:00,26.55,58.81,19.61,Warning
2024-04-01 04:13:00,23.14,47.94,16.49,Warning
2024-04-01 04:14:00,21.61,60.0,12.65,Good
2024-04-01 04:15:00,29.26,49.65,19.53,Warning
2024-04-01 04:16:00,30.96,49.39,20.0,Warning
2024-04-01 04:17:00,20.95,40.89,11.26,Good
2024-04-01 04:18:00,29.68,49.15,14.22,Good
2024-04-01 04:19:00,28.89,40.19,11.33,Good
2024-04-01 04:20:00,24.61,45.94,14.71,Good
2024-04-01 04:21:00,30.83,53.03,17.31,Warning
2024-04-01 04:22:00,26.84,43.45,11.65,Good
2024-04-01 04:23:00,30.03,30.89,13.6,Warning
2024-04-01 04:24:00,17.4,50.29,17.56,Warning
2024-04-01 04:25:00,24.93,47.06,14.48,Good
2024-04-01 04:26:00,25.97,58.98,14.85,Good
2024-04-01 04:27:00,21.75,25.53,11.43,Good
2024-04-01 04:28:00,25.52,42.33,17.52,Warning
2024-04-01 04:29:00,19.05,47.28,9.46,Good
2024-04-01 04:30:00,25.04,27.12,10.1,Good
2024-04-01 04:31:00,22.5,48.78,12.4,Good
2024-04-01 04:32:00,27.01,60.0,15.52,Critical
2024-04-01 04:33:00,30.04,59.89,13.1,Warning
